Shipment ID,Order Date,Shipment Date,Actual Delivery Date,Origin City,Origin Country,Manufacturing Site,Destination Country,Destination City,Chosen Route Name,Distance (km),Customer ID,Service Level,Product ID,Product Category,Shipment Content Type,Packaging Type,Packaging Efficiency,Line Item Quantity,Unit Price (USD),Pack Price (USD),Line Item Value (USD),Weight (kg),Volume (m³),Billable Weight (kg),Shipment Mode,Transporter Name,Carrier Product Fit Score,Expected Delivery Time (Days),Delivery Time (Days),Delay (Days),Avg Speed (km/h),Halt Duration (hours),Route Deviation Factor,Weather Impact,Customs/Border Delay (hours),Route Congestion Factor,Seasonal Cost Factor,Seasonal Delay Factor,Proposed Freight Cost (USD),Actual Freight Cost (USD),Cost Per Billable Kg (USD),Price Variance (USD),Price Variance (%),Carbon Emissions (kg CO2),Status,On-Time Delivery,Cost Outlier,Shipment Month,Shipment Day of Week
SHIP00017,2024-12-13,2024-12-16,2024-12-21,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,NH 48 Direct,1400,CUST008,Standard,PROD0097,Consumer Goods,General Goods,Carton,2.53,287,186.73,190.09,53591.51,3853.17,36.278,36278.0,Sea,MSC,6,2.9,5.2,2.3,20.5,3.0,1.24,None,0.0,1.1,1.15,1.1,33305.9,40373.61,1.11,7067.71,21.22,629.74,Delayed,No,False,12,0
SHIP00018,2023-11-24,2023-11-24,2023-12-06,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST025,Standard,PROD0083,Consumer Goods,General Goods,Pallet,0.03,213,134.13,134.36,28569.69,1390.62,10.501,10501.0,Sea,MSC,6,4.0,11.7,7.7,16.5,6.4,1.49,None,0.0,1.2,1.2,1.15,15209.97,21241.79,2.02,6031.82,39.66,344.37,Delayed,No,False,11,4
SHIP00019,2023-08-14,2023-08-17,2023-08-20,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,Western Bypass,2200,CUST032,Standard,PROD0033,Pharma,Temperature Controlled,Box,0.13,371,371.84,371.35,137952.64,110.88,4.687,782.729,Air Cargo,MSC,5,3.7,3.0,-0.7,394.2,4.5,1.46,None,33.5,1.2,1.05,1.15,33492.61,40824.43,52.16,7331.82,21.89,2010.67,Early,Yes,False,8,3
SHIP00020,2024-03-07,2024-03-09,2024-03-13,Gurugram,India,Gurugram Mfg Hub,Gurugram,Singapore,Air/Sea Route SIN,4000,CUST002,Express,PROD0012,Electronics,Fragile,Loose,1.0,115,3285.71,3322.67,377856.65,378.76,4.365,728.955,Air Cargo,MSC,4,2.6,4.1,1.5,602.7,6.5,1.07,None,50.7,1.0,1.0,1.0,56430.19,59413.44,81.5,2983.25,5.29,2488.82,Delayed,No,False,3,5
SHIP00021,2023-06-17,2023-06-19,2023-07-07,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST020,Standard,PROD0093,Consumer Goods,General Goods,Box,1.68,204,283.61,280.19,57856.44,1853.43,34.233,34233.0,Sea,MSC,6,3.8,17.7,13.9,10.3,8.6,1.55,Severe Weather,44.3,1.2,1.0,1.05,49277.39,58783.37,1.72,9505.98,19.29,1169.38,Delayed,No,False,6,0
SHIP00022,2024-04-15,2024-04-16,2024-04-20,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST040,Express,PROD0056,Textiles,General Goods,Carton,1.72,239,223.43,225.49,53399.77,676.44,20.533,5133.25,Road,MSC,10,2.0,4.1,2.1,35.9,2.0,1.06,None,61.4,1.0,0.98,0.95,13212.85,13861.81,2.7,648.96,4.91,261.43,Delayed,No,False,4,1
SHIP00023,2024-12-19,2024-12-21,2025-02-25,Gurugram,India,Gurugram Mfg Hub,Gurugram,New York,Air/Sea Route NY,12000,CUST006,Standard,PROD0058,Textiles,General Goods,Box,0.48,389,127.76,127.64,49698.64,2791.49,18.507,18507.0,Sea,Maersk,10,49.8,66.2,16.4,15.3,27.4,1.78,None,0.0,1.3,1.15,1.1,140577.58,187494.98,10.13,46917.4,33.37,3952.49,Delayed,No,False,12,5
SHIP00024,2023-07-17,2023-07-19,2023-08-02,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST013,Standard,PROD0059,Textiles,General Goods,Box,0.23,390,267.07,264.75,104157.3,462.21,9.142,9142.0,Sea,Maersk,10,3.3,14.0,10.7,14.2,7.6,1.48,None,0.0,1.2,1.08,1.25,12851.56,14773.61,1.62,1922.05,14.96,298.08,Delayed,No,False,7,2
SHIP00025,2023-12-15,2023-12-16,2023-12-18,Gurugram,India,Gurugram Mfg Hub,Gurugram,Tokyo,Air/Sea Route TYO,5800,CUST031,Standard,PROD0016,Electronics,Fragile,Loose,1.0,38,2927.4,2949.23,111241.2,32.05,1.548,258.516,Air Cargo,DHL,10,3.9,2.1,-1.8,591.1,10.8,1.24,Minor Rain/Fog,0.0,1.1,1.15,1.1,53695.24,67758.9,262.11,14063.66,26.19,1484.17,Early,Yes,False,12,5
SHIP00026,2024-09-16,2024-09-16,2024-09-30,Gurugram,India,Gurugram Mfg Hub,Gurugram,Tokyo,Air/Sea Route TYO,5800,CUST041,Standard,PROD0066,Machinery Parts,Heavy/Bulky,Carton,45.6,8,2151.23,2114.66,17209.84,50.6,18.24,18240.0,Sea,Maersk,9,18.0,14.1,-3.9,23.6,7.2,1.24,None,0.0,1.1,1.0,1.0,66493.47,69542.32,3.81,3048.85,4.59,1309.96,Early,Yes,False,9,0
SHIP00027,2023-09-30,2023-10-01,2023-10-06,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,NH 48 Direct,1400,CUST020,Standard,PROD0090,Consumer Goods,General Goods,Crate,0.09,225,54.82,55.23,12334.5,2395.38,42.549,42549.0,Sea,Maersk,6,3.1,4.9,1.8,22.6,1.6,1.21,None,0.0,1.1,1.1,1.05,37729.55,42323.41,0.99,4593.86,12.18,722.64,Delayed,No,False,10,6
SHIP00028,2024-08-13,2024-08-13,2024-08-19,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST031,Standard,PROD0049,Textiles,General Goods,Pallet,0.06,93,498.5,497.22,46360.5,760.7,9.027,9027.0,Sea,Maersk,10,7.6,6.2,-1.4,23.3,5.3,1.03,None,0.0,1.0,1.05,1.15,12681.93,13535.55,1.5,853.62,6.73,204.32,Early,Yes,False,8,1
SHIP00029,2024-02-18,2024-02-18,2024-03-05,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST027,Standard,PROD0060,Textiles,General Goods,Box,0.3,388,254.26,253.67,98652.88,273.85,11.784,11784.0,Sea,Maersk,10,30.3,16.5,-13.8,21.6,12.6,1.23,None,0.0,1.1,1.0,1.0,48016.65,54150.31,4.6,6133.66,12.77,941.49,Early,Yes,False,2,6
SHIP00030,2023-06-07,2023-06-10,2023-06-13,Gurugram,India,Gurugram Mfg Hub,Gurugram,Shanghai,Air/Sea Route SHA,4500,CUST033,Express,PROD0056,Textiles,General Goods,Crate,0.05,242,129.43,129.7,31322.06,958.11,22.404,3741.468,Air Cargo,Maersk,10,4.5,2.9,-1.6,433.8,15.3,1.5,Minor Rain/Fog,0.0,1.2,1.0,1.05,320711.62,355481.95,95.01,34770.33,10.84,20200.58,Early,Yes,False,6,5
SHIP00031,2024-05-16,2024-05-17,2024-05-20,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST023,Standard,PROD0093,Consumer Goods,General Goods,Pallet,0.04,234,281.2,285.36,65800.8,3444.77,12.957,12957.0,Sea,MSC,6,2.0,2.9,0.9,26.5,1.5,1.04,Minor Rain/Fog,0.0,1.0,0.95,0.95,6786.4,6392.69,0.49,-393.71,-5.8,107.66,Delayed,No,False,5,4
SHIP00032,2023-04-13,2023-04-16,2023-04-19,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST001,Express,PROD0045,Textiles,General Goods,Carton,1.42,39,240.05,244.56,9361.95,137.2,2.761,552.2,Express Air,FedEx,7,2.4,3.3,0.9,802.1,3.6,1.52,None,59.5,1.2,0.98,0.95,35209.44,36551.89,66.19,1342.45,3.81,1215.37,Delayed,No,False,4,6
SHIP00033,2024-12-21,2024-12-21,2024-12-24,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST002,Standard,PROD0090,Consumer Goods,General Goods,Carton,2.35,184,124.96,123.19,22992.64,1509.15,21.625,21625.0,Sea,Maersk,6,1.6,2.6,1.0,26.8,0.8,1.06,None,0.0,1.0,1.15,1.1,11050.65,13730.41,0.63,2679.76,24.25,183.09,Delayed,No,False,12,5
SHIP00034,2024-07-13,2024-07-14,2024-07-25,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST038,Standard,PROD0089,Consumer Goods,General Goods,Box,1.02,234,256.69,253.6,60065.46,1422.26,23.823,23823.0,Sea,MSC,6,2.8,10.725625972305899,7.9,20.7,3.4,1.48,None,0.0,1.2,1.08,1.25,22737.96,27686.44,1.16,4948.48,21.76,511.08,Delayed,No,False,7,6
SHIP00035,2023-08-24,2023-08-26,2023-09-02,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,NH 44 Standard,2150,CUST040,Standard,PROD0085,Consumer Goods,General Goods,Box,1.6,322,47.21,47.45,15201.62,345.06,51.467,51467.0,Sea,Maersk,6,3.1,7.0,3.9,22.7,4.1,1.23,None,0.0,1.1,1.05,1.15,69267.05,81269.69,1.58,12002.64,17.33,1356.61,Delayed,No,False,8,5
SHIP00036,2024-05-08,2024-05-10,2024-05-15,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST008,Standard,PROD0008,Electronics,Fragile,Crate,0.02,441,3413.99,3437.81,1505569.59,902.87,18.717,18717.0,Sea,Maersk,4,7.3,5.4,-1.9,24.5,3.7,1.07,None,0.0,1.0,0.95,0.95,25815.83,25046.12,1.34,-769.71,-2.98,439.46,Early,Yes,False,5,4
SHIP00037,2024-09-16,2024-09-17,2024-09-19,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST045,Standard,PROD0045,Textiles,General Goods,Loose,1.0,24,473.67,469.96,11368.08,120.67,0.342,120.67,Express Air,DHL,7,3.3,2.3,-1.0,891.4,15.4,1.28,None,0.0,1.1,1.0,1.0,47004.72,50438.99,417.99,3434.27,7.31,1004.81,Early,Yes,False,9,1
SHIP00038,2024-12-07,2024-12-09,2024-12-13,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,Western Bypass,2200,CUST016,Express,PROD0012,Electronics,Fragile,Loose,1.0,279,4518.31,4544.48,1260608.49,110.68,4.051,676.517,Air Cargo,DHL,10,2.9,3.9,1.0,406.7,7.7,1.53,None,29.6,1.2,1.15,1.1,40677.15,50081.86,74.03,9404.71,23.12,1824.21,Delayed,No,False,12,0
SHIP00039,2024-08-23,2024-08-24,2024-08-26,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST022,Express,PROD0100,Consumer Goods,General Goods,Carton,2.25,2,97.64,99.53,195.28,29.64,0.225,37.575,Air Cargo,DHL,8,1.5,2.4,0.9,780.8,2.3,1.0,None,30.9,1.0,1.05,1.15,3821.57,4078.22,108.54,256.65,6.72,66.24,Delayed,No,False,8,5
SHIP00040,2024-04-07,2024-04-08,2024-04-11,Gurugram,India,Gurugram Mfg Hub,Gurugram,Shanghai,Air/Sea Route SHA,4500,CUST047,Express,PROD0097,Consumer Goods,General Goods,Pallet,0.07,155,148.25,151.0,22978.75,214.21,15.656,2614.552,Air Cargo,DHL,8,3.0,3.0,0.0,565.8,11.1,1.45,None,24.6,1.2,0.98,0.95,318980.9,335119.53,128.17,16138.63,5.06,13663.34,Delivered,Yes,False,4,0
SHIP00041,2024-04-09,2024-04-12,2024-04-13,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Agra-Indore,1500,CUST008,Express,PROD0078,Machinery Parts,Heavy/Bulky,Pallet,2.76,7,4585.66,4656.85,32099.62,1468.86,29.02,4846.34,Air Cargo,DHL,6,2.2,1.0,-1.2,383.1,4.7,1.85,None,0.0,1.3,0.98,0.95,197308.72,220696.35,45.54,23387.63,11.85,10765.6,Early,Yes,False,4,4
SHIP00042,2023-05-14,2023-05-14,2023-08-02,Gurugram,India,Gurugram Mfg Hub,Gurugram,Los Angeles,Air/Sea Route LA,13500,CUST043,Standard,PROD0054,Textiles,General Goods,Box,0.35,445,458.76,450.53,204148.2,1343.35,15.434,15434.0,Sea,MSC,10,50.5,79.8,29.3,12.2,46.2,1.75,Minor Rain/Fog,0.0,1.3,0.95,0.95,135572.29,162776.19,10.55,27203.9,20.07,3650.7,Delayed,No,False,5,6
SHIP00043,2024-10-20,2024-10-20,2024-11-12,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST002,Standard,PROD0090,Consumer Goods,General Goods,Pallet,0.08,472,115.15,112.88,54350.8,6189.34,55.508,55508.0,Sea,Maersk,6,29.8,22.7,-7.1,19.6,8.8,1.23,None,74.6,1.1,1.1,1.05,225575.81,257741.88,4.64,32166.07,14.26,4434.42,Early,Yes,False,10,6
SHIP00044,2023-03-25,2023-03-27,2023-04-03,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST032,Standard,PROD0047,Textiles,General Goods,Carton,1.39,387,261.05,259.43,101026.35,497.96,26.87,26870.0,Sea,MSC,10,1.6,6.988056493719071,5.4,26.0,0.7,1.03,None,19.1,1.0,1.0,1.0,13933.57,13979.03,0.52,45.46,0.33,221.44,Delayed,No,False,3,0
SHIP00045,2024-05-27,2024-05-29,2024-06-08,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Agra-Indore,1500,CUST003,Standard,PROD0043,Textiles,General Goods,Pallet,0.04,442,163.4,162.94,72222.8,1840.2,29.09,29090.0,Sea,Maersk,10,4.0,9.8,5.8,14.6,3.5,1.75,None,41.5,1.3,0.95,0.95,27436.31,32721.46,1.12,5285.15,19.26,764.12,Delayed,No,False,5,2
SHIP00046,2023-06-22,2023-06-22,2023-09-07,Gurugram,India,Gurugram Mfg Hub,Gurugram,New York,Air/Sea Route NY,12000,CUST034,Standard,PROD0092,Consumer Goods,General Goods,Box,0.55,180,223.67,226.52,40260.6,2217.25,9.88,9880.0,Sea,Maersk,6,50.3,76.6,26.3,12.6,40.7,1.77,Minor Rain/Fog,0.0,1.3,1.0,1.05,75209.69,90812.94,9.19,15603.25,20.75,2102.67,Delayed,No,False,6,3
SHIP00047,2024-10-04,2024-10-06,2024-10-13,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST031,Standard,PROD0029,Pharma,Temperature Controlled,Box,0.09,303,159.54,159.59,48340.62,198.55,2.822,471.274,Air Cargo,FedEx,9,3.4,6.636199826294658,3.2,406.4,5.3,1.5,None,0.0,1.2,1.1,1.05,36310.49,44174.54,93.73,7864.05,21.66,1240.32,Delayed,No,False,10,6
SHIP00048,2024-05-28,2024-05-29,2024-06-02,Gurugram,India,Gurugram Mfg Hub,Gurugram,Tokyo,Air/Sea Route TYO,5800,CUST007,Express,PROD0083,Consumer Goods,General Goods,Crate,0.1,259,200.92,197.22,52038.28,2786.97,51.356,8576.452000000001,Air Cargo,FedEx,8,3.1,3.7,0.6,675.2,13.0,1.3,None,50.4,1.1,0.95,0.95,1301279.79,1327580.16,154.79,26300.37,2.02,51880.81,Delayed,No,False,5,2
SHIP00049,2024-11-03,2024-11-04,2024-11-08,Gurugram,India,Gurugram Mfg Hub,Gurugram,Kolkata,NH 19 East,1500,CUST023,Standard,PROD0073,Machinery Parts,Heavy/Bulky,Carton,38.29,5,6152.89,6260.69,30764.45,791.22,9.573,9573.0,Sea,MSC,9,2.4,4.3,1.9,23.6,1.4,1.02,None,0.0,1.0,1.2,1.15,9464.52,11513.62,1.2,2049.1,21.65,146.18,Delayed,No,False,11,0
SHIP00050,2024-07-06,2024-07-06,2024-08-01,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST039,Standard,PROD0020,Electronics,Fragile,Carton,0.38,415,4523.01,4563.03,1877049.15,130.35,7.823,7823.0,Sea,MSC,4,29.4,26.0,-3.4,18.5,16.3,1.33,None,0.0,1.1,1.08,1.25,33249.47,39682.79,5.07,6433.32,19.35,674.69,Early,Yes,False,7,5
SHIP00051,2024-01-27,2024-01-30,2024-02-01,Gurugram,India,Gurugram Mfg Hub,Gurugram,Tokyo,Air/Sea Route TYO,5800,CUST039,Standard,PROD0036,Pharma,Temperature Controlled,Box,0.11,448,773.86,787.3,346689.28,643.88,4.731,790.077,Air Cargo,MSC,5,4.6,2.4,-2.2,566.8,4.8,1.31,None,0.0,1.1,1.05,1.1,88428.64,106520.65,134.82,18092.01,20.46,4804.44,Early,Yes,False,1,1
SHIP00052,2024-01-18,2024-01-19,2024-01-21,Gurugram,India,Gurugram Mfg Hub,Gurugram,Pune,Standard Route,1450,CUST024,Standard,PROD0024,Pharma,Temperature Controlled,Loose,1.0,430,1443.67,1434.16,620778.1,143.96,0.536,143.96,Air Cargo,DHL,9,1.9,1.6,-0.3,659.1,3.7,1.0,Moderate Rain/Fog,0.0,1.0,1.05,1.1,7684.29,8374.16,58.17,689.87,8.98,167.31,Delivered,Yes,False,1,4
SHIP00053,2023-09-02,2023-09-05,2023-09-23,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST005,Standard,PROD0100,Consumer Goods,General Goods,Pallet,0.02,275,24.6,24.62,6765.0,1102.23,10.252,10252.0,Sea,MSC,6,28.7,17.6,-11.1,22.1,18.9,1.25,None,0.0,1.1,1.0,1.0,43374.64,44502.28,4.34,1127.64,2.6,835.4,Early,Yes,False,9,1
SHIP00054,2024-02-01,2024-02-03,2024-02-05,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,NH 44 Standard,2150,CUST023,Express,PROD0024,Pharma,Temperature Controlled,Pallet,0.0,396,1184.71,1196.87,469145.16,122.82,2.918,583.6,Express Air,FedEx,9,2.2,2.5,0.3,721.4,6.2,1.3,None,16.8,1.1,1.0,1.0,55169.16,57966.61,99.33,2797.45,5.07,1626.95,Delivered,Yes,False,2,5
SHIP00055,2024-07-10,2024-07-13,2024-07-24,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,NH 44 Standard,2150,CUST019,Standard,PROD0091,Consumer Goods,General Goods,Loose,1.0,140,54.85,54.56,7679.0,1875.66,21.172,21172.0,Sea,Maersk,6,3.3,10.6,7.3,24.2,5.1,1.31,None,48.2,1.1,1.08,1.25,28802.79,33504.62,1.58,4701.83,16.32,594.92,Delayed,No,False,7,5
