ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Transporter Name,Delivery Time (Days)
61,110-ZM-T01,Pre-PQ Process,SCMS-226,ASN-137,Karnataka,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,8-Jan-07,8-Jan-07,8-Jan-07,HRDT,HIV test,Cipla,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,2500,81864.94,32.745976,1.6372988,"Vapi, Gujarat",Yes,853,2072.21,,Blue Dart,4
62,102-NG-T01,Pre-PQ Process,SCMS-230,ASN-144,Gujarat,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,10-Jan-07,10-Jan-07,10-Jan-07,HRDT,HIV test,Cipla,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests","HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,,Test kit,100,10,11653.36,1165.336,11.65336,"Vapi, Gujarat",Yes,Weight Captured Separately,143.26,,TCI Express,9
64,107-RW-T01,Pre-PQ Process,SCMS-268,ASN-242,West Bengal,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/22/06,27-Feb-07,27-Feb-07,27-Feb-07,ARV,Adult,Dr. Reddy's,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10000,44251.33,4.425133,0.07375221666666666,"Srikakulam, Andhra Pradesh",Yes,7416,2077.87,,TCI Express,9
65,106-HT-T01,Pre-PQ Process,SCMS-274,ASN-162,West Bengal,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,18-Jan-07,18-Jan-07,18-Jan-07,HRDT,HIV test,Biocon,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,750,82974.45,110.6326,1.106326,"Baddi, Himachal Pradesh",Yes,256,442.03,,Delhivery,6
68,113-ZW-T01,Pre-PQ Process,SCMS-308,ASN-285,Uttar Pradesh,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,1/10/07,19-Mar-07,19-Mar-07,19-Mar-07,ARV,Pediatric,Lupin,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,Videx,200mg,Tablet,60,579,19724.53,34.06654576856649,0.5677757628094415,"Baddi, Himachal Pradesh",Yes,Weight Captured Separately,1782.74,,Delhivery,2
69,102-NG-T01,Pre-PQ Process,SCMS-354,ASN-608,Delhi,PMO - US,Direct Drop,CIP,,Pre-PQ Process,Date Not Captured,7-May-07,7-May-07,7-May-07,HRDT,HIV test,Biocon,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1500,29749.78,19.833186666666666,0.19833186666666666,"Pithampur, Madhya Pradesh",Yes,Weight Captured Separately,2447.2,192.0,TCI Express,4
80,107-RW-T01,Pre-PQ Process,SCMS-488,ASN-299,Karnataka,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,29-Mar-07,29-Mar-07,29-Mar-07,HRDT,HIV test,Dr. Reddy's,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,,Test kit,30,2000,83846.3,41.92315,1.3974383333333333,"Srikakulam, Andhra Pradesh",Yes,710,174.72,,Delhivery,13
87,109-TZ-T01,Pre-PQ Process,SCMS-555,ASN-409,Uttar Pradesh,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,4/12/07,6-Jun-07,6-Jun-07,6-Jun-07,ARV,Pediatric,Sun Pharma,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,2g,Powder for oral solution,200,712,52706.9,74.02654494382023,0.37013272471910114,"Vapi, Gujarat",Yes,162,2378.03,,TCI Express,4
92,102-NG-T01,Pre-PQ Process,SCMS-592,ASN-485,Gujarat,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/07,19-Jun-07,19-Jun-07,19-Jun-07,HRDT,HIV test,Dr. Reddy's,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1000,98949.54,98.94954,0.9894954,"Hosakote, Karnataka",Yes,341,325.01,128.0,Delhivery,11
96,102-NG-T01,Pre-PQ Process,SCMS-570,ASN-451,Gujarat,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/17/07,19-Jun-07,19-Jun-07,19-Jun-07,HRDT,HIV test,Lupin,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,7500,8529.2,1.1372266666666668,0.05686133333333334,"Hosakote, Karnataka",Yes,2278,475.87,,VRL Logistics,6
108,104-CI-T01,Pre-PQ Process,SCMS-698,ASN-727,Uttar Pradesh,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,7/13/07,2-Oct-07,2-Oct-07,2-Oct-07,ARV,Pediatric,Biocon,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,Videx,200mg,Tablet,60,5513,79976.64,14.506918193361146,0.24178196988935244,"Baddi, Himachal Pradesh",Yes,2126,405.04,224.93,Blue Dart,4
115,108-VN-T01,Pre-PQ Process,SCMS-753,ASN-781,Karnataka,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/4/07,15-Oct-07,15-Oct-07,15-Oct-07,ARV,Pediatric,Lupin,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,4052.16,4.05216,0.016884,"Baddi, Himachal Pradesh",Yes,941,2210.42,3.07,Delhivery,9
116,108-VN-T01,Pre-PQ Process,SCMS-759,ASN-632,Delhi,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/4/07,27-Aug-07,27-Aug-07,27-Aug-07,ARV,Adult,Serum Institute,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,500,29673.35,59.3467,0.4945558333333333,"Bhiwandi, Maharashtra",Yes,117,2481.45,65.75,VRL Logistics,11
130,100-HT-T01,Pre-PQ Process,SCMS-10080,ASN-628,Maharashtra,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/26/07,13-Aug-07,21-Aug-07,21-Aug-07,HRDT,HIV test,Sun Pharma,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,750,95804.16,127.73888000000001,1.2773888,"Srikakulam, Andhra Pradesh",Yes,171,536.8,86.39,GATI,11
134,100-HT-T01,Pre-PQ Process,SCMS-10130,ASN-616,Gujarat,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/26/07,25-Aug-07,25-Aug-07,25-Aug-07,HRDT,HIV test,Biocon,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,,Test kit,100,25,17572.4,702.8960000000001,7.0289600000000005,"Bhiwandi, Maharashtra",Yes,60,1705.19,14.0,GATI,6
138,109-TZ-T01,Pre-PQ Process,SCMS-10270,ASN-710,Karnataka,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,16-Oct-07,16-Oct-07,16-Oct-07,HRDT,HIV test,Dr. Reddy's,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,79481.89,7.948189,0.31792756,"Bhiwandi, Maharashtra",Yes,3335,1795.45,320.0,Delhivery,8
139,109-TZ-T01,Pre-PQ Process,SCMS-10290,ASN-788,Tamil Nadu,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,22-Nov-07,22-Nov-07,22-Nov-07,HRDT,HIV test,Cipla,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,45596.03,4.559603,0.18238412,"Vapi, Gujarat",Yes,3335,2162.52,320.0,Delhivery,4
140,109-TZ-T01,Pre-PQ Process,SCMS-10300,ASN-856,Karnataka,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,22-Nov-07,22-Nov-07,22-Nov-07,HRDT,HIV test,Dr. Reddy's,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,2786.17,0.278617,0.01114468,"Bhiwandi, Maharashtra",Yes,3335,1356.2,320.0,Delhivery,11
161,117-ET-T01,Pre-PQ Process,SCMS-11070,ASN-916,Karnataka,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/3/07,20-Nov-07,20-Nov-07,20-Nov-07,ARV,Adult,Dr. Reddy's,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,64000,9711.59,0.15174359375,0.002529059895833333,"Hosakote, Karnataka",Yes,4228,1109.57,158.72,Delhivery,12
176,102-NG-T01,Pre-PQ Process,SCMS-11750,ASN-745,Karnataka,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/28/07,3-Oct-07,3-Oct-07,3-Oct-07,HRDT,HIV test,Lupin,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,10000,99812.05,9.981205000000001,0.49906025000000004,"Pithampur, Madhya Pradesh",Yes,3263,1722.41,432.0,GATI,5
262,116-ZA-T01,Pre-PQ Process,SCMS-14050,ASN-1251,Maharashtra,PMO - US,Direct Drop,DDP,,Pre-PQ Process,11/12/07,29-Jan-08,29-Jan-08,29-Jan-08,ARV,Pediatric,Aurobindo Pharma,"Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",Zidovudine,Retrovir,10mg/ml,Oral solution,200,40,72491.97,1812.29925,9.06149625,"Bhiwandi, Maharashtra",Yes,Weight Captured Separately,1574.68,0.51,Delhivery,3
269,108-VN-T01,Pre-PQ Process,SCMS-14190,ASN-1192,Tamil Nadu,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/19/07,21-Jan-08,21-Jan-08,21-Jan-08,ARV,Adult,Cipla,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1000,40531.33,40.531330000000004,1.3510443333333335,"Bhiwandi, Maharashtra",Yes,76,702.58,27.2,Delhivery,14
270,108-VN-T01,Pre-PQ Process,SCMS-14200,ASN-1171,Tamil Nadu,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/21/07,21-Jan-08,21-Jan-08,21-Jan-08,ARV,Adult,Biocon,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,400,43974.63,109.93657499999999,1.8322762499999998,"Baddi, Himachal Pradesh",Yes,23,1299.26,5.36,GATI,9
284,107-RW-T01,Pre-PQ Process,SCMS-14630,ASN-1253,Maharashtra,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/10/07,31-Jan-08,31-Jan-08,31-Jan-08,HRDT,HIV test - Ancillary,Aurobindo Pharma,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,1500,69309.42,46.20628,0.4620628,"Vapi, Gujarat",Yes,99,350.32,0.02,TCI Express,7
305,123-NG-T01,Pre-PQ Process,SCMS-15550,ASN-1269,Delhi,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,5-Feb-08,5-Feb-08,5-Feb-08,HRDT,HIV test - Ancillary,Cipla,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,650,19840.54,30.523907692307695,0.30523907692307695,"Vapi, Gujarat",Yes,Weight Captured Separately,1123.93,0.01,TCI Express,6
343,116-ZA-T01,Pre-PQ Process,SCMS-16600,ASN-1520,Delhi,PMO - US,Direct Drop,DDP,,Pre-PQ Process,1/4/08,21-Jan-08,4-Jan-08,4-Jan-08,ARV,Pediatric,Biocon,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,200,3405.91,17.02955,0.08514775000000001,"Bhiwandi, Maharashtra",Yes,Weight Captured Separately,938.78,0.54,Blue Dart,8
361,125-HT-T01,Pre-PQ Process,SCMS-14080,ASN-1318,Delhi,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,18-Feb-08,18-Feb-08,18-Feb-08,HRDT,HIV test,Cipla,"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,,Test kit,100,2,92063.85,46031.925,460.31925,"Srikakulam, Andhra Pradesh",Yes,Weight Captured Separately,309.58,0.44,GATI,8
391,104-CI-T01,Pre-PQ Process,SCMS-18290,ASN-1879,Tamil Nadu,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/08,17-Jun-08,17-Jun-08,17-Jun-08,HRDT,HIV test,Biocon,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,,Test kit,40,476,40138.22,84.32399159663866,2.1080997899159666,"Hosakote, Karnataka",Yes,509,818.87,57.88,Blue Dart,8
392,104-CI-T01,Pre-PQ Process,SCMS-18310,ASN-3435,Uttar Pradesh,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/3/08,19-Mar-09,19-Mar-09,19-Mar-09,HRDT,HIV test,Serum Institute,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,659,88199.03,133.83767830045522,5.353507132018209,"Pithampur, Madhya Pradesh",Yes,206,804.57,25.83,VRL Logistics,5
398,102-GY-T01,Pre-PQ Process,SCMS-18480,ASN-1502,Uttar Pradesh,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/08,9-Apr-08,1-Apr-08,1-Apr-08,HRDT,HIV test - Ancillary,Sun Pharma,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,240,81445.35,339.35562500000003,3.3935562500000005,"Hosakote, Karnataka",Yes,Weight Captured Separately,2486.08,0.0,VRL Logistics,7
399,102-GY-T01,Pre-PQ Process,SCMS-18500,ASN-2117,Uttar Pradesh,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/08,28-Jul-08,28-Jul-08,28-Jul-08,HRDT,HIV test - Ancillary,Cipla,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,213,55370.62,259.95596244131457,2.599559624413146,"Bhiwandi, Maharashtra",Yes,14,221.61,0.0,Delhivery,7
400,117-ET-T01,Pre-PQ Process,SCMS-18430,ASN-1465,Delhi,PMO - US,Direct Drop,DDP,,Pre-PQ Process,2/29/08,11-Mar-08,11-Mar-08,11-Mar-08,HRDT,HIV test,Serum Institute,"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,,Test kit,100,63,41428.84,657.6006349206349,6.576006349206349,"Vapi, Gujarat",Yes,Weight Captured Separately,2261.14,21.44,Delhivery,2
410,113-ZW-T01,Pre-PQ Process,SCMS-18870,ASN-2434,West Bengal,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/17/08,17-Nov-08,17-Nov-08,17-Nov-08,HRDT,HIV test,Serum Institute,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,1634,74908.29,45.84350673194614,0.45843506731946143,"Srikakulam, Andhra Pradesh",Yes,373,219.41,188.21,GATI,6
411,123-NG-T01,Pre-PQ Process,SCMS-18940,ASN-1467,Gujarat,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/13/08,17-Apr-08,17-Apr-08,17-Apr-08,HRDT,HIV test,Cipla,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,1425,23253.38,16.31816140350877,0.8159080701754385,"Hosakote, Karnataka",Yes,483,1240.14,61.56,VRL Logistics,6
414,119-NA-T01,Pre-PQ Process,SCMS-19130,ASN-1798,West Bengal,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/18/08,4-Jun-08,4-Jun-08,4-Jun-08,HRDT,HIV test,Serum Institute,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,142,85631.27,603.0371126760564,6.0303711267605635,"Srikakulam, Andhra Pradesh",Yes,33,2106.68,16.36,GATI,7
420,108-VN-T01,Pre-PQ Process,SCMS-19490,ASN-1753,Uttar Pradesh,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/08,3-Jun-08,3-Jun-08,3-Jun-08,ARV,Adult,Cipla,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8400,1333.29,0.158725,0.005290833333333333,"Bhiwandi, Maharashtra",Yes,654,1111.76,154.29,Blue Dart,12
422,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,Uttar Pradesh,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/08,24-Apr-08,24-Apr-08,24-Apr-08,ARV,Adult,Serum Institute,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,6,13728.72,2288.12,8.474518518518519,"Vapi, Gujarat",Yes,Weight Captured Separately,2277.34,0.65,Blue Dart,4
423,116-ZA-T01,Pre-PQ Process,SCMS-19800,ASN-1665,Uttar Pradesh,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,2/20/08,24-Apr-08,24-Apr-08,24-Apr-08,ARV,Pediatric,Aurobindo Pharma,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Stavudine,Zerit,1mg/ml,Powder for oral solution,200,600,48906.1,81.51016666666666,0.4075508333333333,"Bhiwandi, Maharashtra",No,Weight Captured Separately,1076.25,1.39,VRL Logistics,5
438,108-VN-T01,Pre-PQ Process,SCMS-20310,ASN-1923,Delhi,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/31/08,12-Jul-08,12-Jul-08,12-Jul-08,ARV,Pediatric,Aurobindo Pharma,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,52227.77,130.569425,2.1761570833333335,"Bhiwandi, Maharashtra",Yes,81,111.99,4.48,GATI,7
459,116-ZA-T01,Pre-PQ Process,SCMS-21460,ASN-1667,West Bengal,PMO - US,Direct Drop,DDP,,Pre-PQ Process,4/4/08,25-Apr-08,7-Apr-08,7-Apr-08,ARV,Pediatric,Lupin,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,6,10409.9,1734.9833333333333,28.91638888888889,"Vapi, Gujarat",Yes,Weight Captured Separately,519.41,0.12,Delhivery,8
464,102-NG-T01,Pre-PQ Process,SCMS-21540,ASN-2008,Uttar Pradesh,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,9-Jul-08,9-Jul-08,9-Jul-08,HRDT,HIV test,Serum Institute,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,5498,45582.7,8.290778464896325,0.08290778464896326,"Srikakulam, Andhra Pradesh",Yes,1251,1295.76,703.66,Delhivery,4
465,102-NG-T01,Pre-PQ Process,SCMS-21540,ASN-2011,Karnataka,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,9-Jul-08,4-Jul-08,4-Jul-08,HRDT,HIV test - Ancillary,Serum Institute,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,5498,96101.07,17.479277919243362,0.17479277919243363,"Hosakote, Karnataka",Yes,Weight Captured Separately,1902.73,0.09,TCI Express,7
466,117-ET-T01,Pre-PQ Process,SCMS-21550,ASN-1741,West Bengal,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,Date Not Captured,9-May-08,9-May-08,9-May-08,HRDT,HIV test,Aurobindo Pharma,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,15,38145.32,2543.021333333333,127.15106666666665,"Pithampur, Madhya Pradesh",Yes,Weight Captured Separately,165.69,1.11,GATI,8
